,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,title
728,0.688,0.964,8,-2.095,0,0.152,0.00673,0.000116,0.339,0.789,128.021,audio_features,25L1bJsa5pc1q7U9gB40UC,spotify:track:25L1bJsa5pc1q7U9gB40UC,https://api.spotify.com/v1/tracks/25L1bJsa5pc1q7U9gB40UC,https://api.spotify.com/v1/audio-analysis/25L1bJsa5pc1q7U9gB40UC,193907,4,progressivehouse,Slave to the Rhythm - Audien Remix Radio Edit
729,0.67,0.754,11,-4.615,0,0.234,0.00341,0.000193,0.144,0.424,125.945,audio_features,09xMYuXzBcGsOAeV23KQYR,spotify:track:09xMYuXzBcGsOAeV23KQYR,https://api.spotify.com/v1/tracks/09xMYuXzBcGsOAeV23KQYR,https://api.spotify.com/v1/audio-analysis/09xMYuXzBcGsOAeV23KQYR,228680,4,progressivehouse,Sleeping With A Friend - The Chainsmokers Radio Remix
730,0.659,0.619,0,-7.389,1,0.05,0.00458,0.972,0.0897,0.119,128.015,audio_features,3Qntjzw2xY1VDb6x808BPi,spotify:track:3Qntjzw2xY1VDb6x808BPi,https://api.spotify.com/v1/tracks/3Qntjzw2xY1VDb6x808BPi,https://api.spotify.com/v1/audio-analysis/3Qntjzw2xY1VDb6x808BPi,306560,4,progressivehouse,SLVR
731,0.574,0.731,11,-4.582,1,0.0664,0.024,0.0,0.0779,0.402,127.925,audio_features,4f13AaRyukUTWleyKXaRDh,spotify:track:4f13AaRyukUTWleyKXaRDh,https://api.spotify.com/v1/tracks/4f13AaRyukUTWleyKXaRDh,https://api.spotify.com/v1/audio-analysis/4f13AaRyukUTWleyKXaRDh,195503,4,progressivehouse,Smoke Filled Room
732,0.717,0.807,6,-6.279,0,0.0911,0.172,0.00131,0.351,0.542,125.94,audio_features,033eAdPpnmBbgfLvbLBih0,spotify:track:033eAdPpnmBbgfLvbLBih0,https://api.spotify.com/v1/tracks/033eAdPpnmBbgfLvbLBih0,https://api.spotify.com/v1/audio-analysis/033eAdPpnmBbgfLvbLBih0,196190,4,progressivehouse,So Far Away (feat. Jamie Scott & Romy Dya) - Blinders Remix
733,0.569,0.493,6,-4.89,0,0.0443,0.0196,0.0001,0.0417,0.242,125.967,audio_features,7J7D2Ezp32LxlYuNTZX48n,spotify:track:7J7D2Ezp32LxlYuNTZX48n,https://api.spotify.com/v1/tracks/7J7D2Ezp32LxlYuNTZX48n,https://api.spotify.com/v1/audio-analysis/7J7D2Ezp32LxlYuNTZX48n,342857,4,progressivehouse,So Far Away (feat. Jamie Scott & Romy Dya) - Nicky Romero Remix
734,0.562,0.799,3,-5.443,0,0.0739,0.00382,0.00514,0.146,0.0522,127.912,audio_features,3DvI90KaMY2TPHaFYY4GWM,spotify:track:3DvI90KaMY2TPHaFYY4GWM,https://api.spotify.com/v1/tracks/3DvI90KaMY2TPHaFYY4GWM,https://api.spotify.com/v1/audio-analysis/3DvI90KaMY2TPHaFYY4GWM,193135,4,progressivehouse,Soldier
735,0.523,0.934,5,-4.435,1,0.0758,0.00317,6.67e-06,0.0583,0.302,127.973,audio_features,5Htvs0HMEOA5F90pDIAZjb,spotify:track:5Htvs0HMEOA5F90pDIAZjb,https://api.spotify.com/v1/tracks/5Htvs0HMEOA5F90pDIAZjb,https://api.spotify.com/v1/audio-analysis/5Htvs0HMEOA5F90pDIAZjb,199352,4,progressivehouse,Someone Somewhere - Tiësto Radio Edit
736,0.562,0.871,10,-4.058,1,0.0388,0.00131,0.256,0.128,0.166,126.053,audio_features,6TXyKyJ0N6lc0N3IYaifbV,spotify:track:6TXyKyJ0N6lc0N3IYaifbV,https://api.spotify.com/v1/tracks/6TXyKyJ0N6lc0N3IYaifbV,https://api.spotify.com/v1/audio-analysis/6TXyKyJ0N6lc0N3IYaifbV,220962,4,progressivehouse,Something About You
737,0.455,0.786,11,-5.544,0,0.0667,0.142,0.000603,0.336,0.446,108.754,audio_features,3LewMbGqmR4IYtifSNxbGz,spotify:track:3LewMbGqmR4IYtifSNxbGz,https://api.spotify.com/v1/tracks/3LewMbGqmR4IYtifSNxbGz,https://api.spotify.com/v1/audio-analysis/3LewMbGqmR4IYtifSNxbGz,230573,1,progressivehouse,Something Just Like This - Dimitri Vegas & Like Mike Remix
738,0.406,0.716,2,-5.71,1,0.0363,3.12e-05,0.0891,0.092,0.24,151.103,audio_features,7wA28PKOkLkPZNhJADqlPX,spotify:track:7wA28PKOkLkPZNhJADqlPX,https://api.spotify.com/v1/tracks/7wA28PKOkLkPZNhJADqlPX,https://api.spotify.com/v1/audio-analysis/7wA28PKOkLkPZNhJADqlPX,208631,4,progressivehouse,Beauty From The Ashes (feat. Mozella)
739,0.628,0.817,4,-4.223,1,0.0287,0.242,1.31e-05,0.262,0.539,119.041,audio_features,2YNVpj4AfBb3HN1QTqEcVB,spotify:track:2YNVpj4AfBb3HN1QTqEcVB,https://api.spotify.com/v1/tracks/2YNVpj4AfBb3HN1QTqEcVB,https://api.spotify.com/v1/audio-analysis/2YNVpj4AfBb3HN1QTqEcVB,189580,4,progressivehouse,Something Strange
740,0.614,0.66,9,-6.049,0,0.0386,0.00271,8.49e-05,0.147,0.183,127.979,audio_features,3pblKAzqM3AVx3DwKGQyoM,spotify:track:3pblKAzqM3AVx3DwKGQyoM,https://api.spotify.com/v1/tracks/3pblKAzqM3AVx3DwKGQyoM,https://api.spotify.com/v1/audio-analysis/3pblKAzqM3AVx3DwKGQyoM,270059,4,progressivehouse,Sorry Eyes (Aitor Blond Remix)
